[1195]:HP(5295),HA(6459),HM(6699),LP(7809),LM(8726),LA(9603)
[119]:HP(431),HA(538),HM(576),LM(645),LP(668),LA(908)
[444]:HP(1809),HA(2266),HM(2325),LP(2718),LM(2768),LA(3199)
[1020]:HP(4422),HA(5462),HM(5666),LM(6801),LP(6982),LA(7801)
[453]:HP(1852),HA(2317),HM(2379),LM(2607),LP(2782),LA(3632)
[1732]:HP(7809),HA(9560),HM(9915),LP(13249),LA(13736),LM(14386)
[843]:HP(3619),HA(4511),HM(4632),LM(6264),LA(6425),LP(6600)
[1732]:HP(7804),HA(9598),HM(9926),LM(12976),LP(14270),LA(18463)
[873]:HP(3739),HA(4681),HM(4788),LP(6512),LM(6601),LA(7884)
[331]:HP(1324),HA(1652),HM(1721),LM(1839),LA(2305),LP(2665)
[287]:HP(1137),HA(1429),LP(1468),HM(1485),LM(1570),LA(2358)
[1795]:HP(8179),HA(10043),HM(10417),LM(13192),LP(14220),LA(16845)
[1400]:HP(6238),HA(7686),HM(7917),LM(9527),LA(10673),LP(10693)
[536]:HP(2208),HA(2784),HM(2865),LM(3508),LP(4036),LA(4250)
[1637]:HP(7429),HA(9047),HM(9415),LM(11577),LP(12691),LA(14401)
[1824]:HP(3648),HA(6662),HM(7293),LM(12469),LA(14988),LP(1668046)
[1372]:HP(6145),HA(7602),HM(7725),LM(10866),LP(11168),LA(11222)
[231]:HP(900),HA(1111),HM(1184),LM(1321),LP(1467),LA(1719)
[1589]:HP(7088),HA(8797),HM(9136),LP(11508),LM(11593),LA(14514)
[638]:HP(2656),HA(3365),HM(3478),LM(4031),LP(4940),LA(5505)
[1064]:HP(4639),HA(5714),HM(5960),LM(7248),LP(7809),LA(8012)
[918]:HP(3963),HA(4854),HM(5058),LM(6197),LP(6821),LA(7556)
[890]:HP(3850),HA(4762),HM(4888),LM(5633),LP(6200),LA(7323)
[1978]:HP(8951),HA(11041),HM(11398),LM(14037),LA(17253),LP(17752)
[1533]:HP(6819),HA(8521),HM(8670),LM(11298),LP(11586),LA(13358)
[893]:HP(3816),HA(4789),HM(4943),LM(6246),LP(6565),LA(6962)
[1026]:HP(2054),HA(3768),HM(4101),LM(6196),LA(8302),LP(528901)
[263]:HP(1056),HA(1297),HM(1343),LM(1462),LA(1635),LP(1793)
[1818]:HP(8273),HA(10015),HM(10466),LM(12550),LP(13939),LA(14278)
[614]:HP(2558),HA(3220),HM(3348),LM(3954),LP(4357),LA(4435)
[1685]:HP(7510),HA(9364),HM(9709),LP(11535),LM(11884),LA(14461)
[810]:HP(3485),HA(4240),HM(4383),LM(5336),LP(5586),LA(6550)
[715]:HP(3027),HA(3795),HM(3878),LM(5116),LA(5366),LP(5671)
[1560]:HP(7034),HA(8677),HM(8854),LM(11306),LA(13333),LP(13613)
[1076]:HP(4702),HA(5837),HM(5989),LM(7788),LP(8020),LA(8861)
[1189]:HP(5285),HA(6484),HM(6657),LM(8847),LA(8893),LP(9624)
[194]:HP(720),HA(935),HM(962),LP(1005),LM(1057),LA(1335)
[1663]:HP(7493),HA(9262),HM(9495),LP(12516),LM(12857),LA(15740)
